"MTU (CET)","Generation - Sum [MW] (D) / BZN|DE-AT-LU","Generation - Solar  [MW] (D) / BZN|DE-AT-LU","Generation - Wind Offshore  [MW] (D) / BZN|DE-AT-LU","Generation - Wind Onshore  [MW] (D) / BZN|DE-AT-LU"
"03.01.2017 13:30 - 03.01.2017 13:45 (CET)","31674","3072","3224","25378"
"03.01.2017 13:45 - 03.01.2017 14:00 (CET)","31795","2858","3226","25711"
"03.01.2017 14:00 - 03.01.2017 14:15 (CET)","31863","2605","3227","26031"
"03.01.2017 14:15 - 03.01.2017 14:30 (CET)","31828","2317","3229","26282"
"03.01.2017 14:30 - 03.01.2017 14:45 (CET)","31762","2009","3229","26524"
"03.01.2017 14:45 - 03.01.2017 15:00 (CET)","31681","1687","3231","26763"
"03.01.2017 15:00 - 03.01.2017 15:15 (CET)","31592","1364","3232","26996"
"03.01.2017 15:15 - 03.01.2017 15:30 (CET)","31497","1049","3234","27214"
"03.01.2017 15:30 - 03.01.2017 15:45 (CET)","31424","760","3234","27430"
"03.01.2017 15:45 - 03.01.2017 16:00 (CET)","31372","481","3235","27656"
"03.01.2017 16:00 - 03.01.2017 16:15 (CET)","31382","256","3235","27891"
"03.01.2017 16:15 - 03.01.2017 16:30 (CET)","31496","112","3235","28149"
"03.01.2017 16:30 - 03.01.2017 16:45 (CET)","31697","56","3233","28408"
"03.01.2017 16:45 - 03.01.2017 17:00 (CET)","31920","21","3234","28665"
"03.01.2017 17:00 - 03.01.2017 17:15 (CET)","32164","11","3235","28918"
"03.01.2017 17:15 - 03.01.2017 17:30 (CET)","32416","13","3234","29169"
"03.01.2017 17:30 - 03.01.2017 17:45 (CET)","32665","10","3234","29421"
"03.01.2017 17:45 - 03.01.2017 18:00 (CET)","32911","9","3232","29670"
"03.01.2017 18:00 - 03.01.2017 18:15 (CET)","33156","9","3234","29913"
"03.01.2017 18:15 - 03.01.2017 18:30 (CET)","33388","8","3233","30147"
"03.01.2017 18:30 - 03.01.2017 18:45 (CET)","33628","8","3234","30386"
"03.01.2017 18:45 - 03.01.2017 19:00 (CET)","33858","8","3232","30618"
"03.01.2017 19:00 - 03.01.2017 19:15 (CET)","34068","0","3231","30837"
"03.01.2017 19:15 - 03.01.2017 19:30 (CET)","34243","0","3225","31018"
"03.01.2017 19:30 - 03.01.2017 19:45 (CET)","34422","0","3219","31203"
"03.01.2017 19:45 - 03.01.2017 20:00 (CET)","34597","0","3210","31387"
"03.01.2017 20:00 - 03.01.2017 20:15 (CET)","34919","0","3204","31715"
"03.01.2017 20:15 - 03.01.2017 20:30 (CET)","35018","0","3193","31825"
"03.01.2017 20:30 - 03.01.2017 20:45 (CET)","35118","0","3181","31937"
"03.01.2017 20:45 - 03.01.2017 21:00 (CET)","35221","0","3169","32052"
"03.01.2017 21:00 - 03.01.2017 21:15 (CET)","35300","0","3159","32141"
"03.01.2017 21:15 - 03.01.2017 21:30 (CET)","35411","0","3153","32258"
"03.01.2017 21:30 - 03.01.2017 21:45 (CET)","35524","0","3149","32375"
"03.01.2017 21:45 - 03.01.2017 22:00 (CET)","35655","0","3145","32510"
"03.01.2017 22:00 - 03.01.2017 22:15 (CET)","35780","0","3140","32640"
"03.01.2017 22:15 - 03.01.2017 22:30 (CET)","35898","0","3143","32755"
"03.01.2017 22:30 - 03.01.2017 22:45 (CET)","36019","0","3146","32873"
"03.01.2017 22:45 - 03.01.2017 23:00 (CET)","36147","0","3146","33001"
"03.01.2017 23:00 - 03.01.2017 23:15 (CET)","36265","0","3148","33117"
