"Time (CET)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"03.01.2016 02:45 - 03.01.2016 03:00","42013","45129"
"03.01.2016 03:00 - 03.01.2016 03:15","41803","45016"
"03.01.2016 03:15 - 03.01.2016 03:30","41676","45010"
"03.01.2016 03:30 - 03.01.2016 03:45","41721","45152"
"03.01.2016 03:45 - 03.01.2016 04:00","41455","44875"
"03.01.2016 04:00 - 03.01.2016 04:15","41587","45063"
"03.01.2016 04:15 - 03.01.2016 04:30","41679","45174"
"03.01.2016 04:30 - 03.01.2016 04:45","41297","45269"
"03.01.2016 04:45 - 03.01.2016 05:00","41479","45038"
"03.01.2016 05:00 - 03.01.2016 05:15","41665","45115"
"03.01.2016 05:15 - 03.01.2016 05:30","41254","44883"
"03.01.2016 05:30 - 03.01.2016 05:45","41032","44688"
"03.01.2016 05:45 - 03.01.2016 06:00","40445","44366"
"03.01.2016 06:00 - 03.01.2016 06:15","40032","43528"
"03.01.2016 06:15 - 03.01.2016 06:30","39803","43936"
"03.01.2016 06:30 - 03.01.2016 06:45","40261","44253"
"03.01.2016 06:45 - 03.01.2016 07:00","40159","44585"
"03.01.2016 07:00 - 03.01.2016 07:15","41664","45086"
"03.01.2016 07:15 - 03.01.2016 07:30","41894","45479"
"03.01.2016 07:30 - 03.01.2016 07:45","42717","46571"
"03.01.2016 07:45 - 03.01.2016 08:00","43546","47313"
"03.01.2016 08:00 - 03.01.2016 08:15","44257","47823"
"03.01.2016 08:15 - 03.01.2016 08:30","44969","48461"
"03.01.2016 08:30 - 03.01.2016 08:45","45462","49068"
"03.01.2016 08:45 - 03.01.2016 09:00","46419","49833"
"03.01.2016 09:00 - 03.01.2016 09:15","47707","50972"
"03.01.2016 09:15 - 03.01.2016 09:30","48447","51860"
"03.01.2016 09:30 - 03.01.2016 09:45","49053","52865"
"03.01.2016 09:45 - 03.01.2016 10:00","49967","53586"
"03.01.2016 10:00 - 03.01.2016 10:15","50532","54425"
"03.01.2016 10:15 - 03.01.2016 10:30","51616","55169"
"03.01.2016 10:30 - 03.01.2016 10:45","52004","55746"
"03.01.2016 10:45 - 03.01.2016 11:00","52554","56704"
"03.01.2016 11:00 - 03.01.2016 11:15","53132","57609"
"03.01.2016 11:15 - 03.01.2016 11:30","53887","58612"
"03.01.2016 11:30 - 03.01.2016 11:45","54427","59557"
"03.01.2016 11:45 - 03.01.2016 12:00","54384","59532"
"03.01.2016 12:00 - 03.01.2016 12:15","54463","59398"
"03.01.2016 12:15 - 03.01.2016 12:30","53964","59044"
"03.01.2016 12:30 - 03.01.2016 12:45","53756","58620"
"03.01.2016 12:45 - 03.01.2016 13:00","53174","57900"
"03.01.2016 13:00 - 03.01.2016 13:15","52609","57481"
"03.01.2016 13:15 - 03.01.2016 13:30","52092","57159"
"03.01.2016 13:30 - 03.01.2016 13:45","51675","56999"
"03.01.2016 13:45 - 03.01.2016 14:00","51413","56201"
"03.01.2016 14:00 - 03.01.2016 14:15","50889","56072"
"03.01.2016 14:15 - 03.01.2016 14:30","50712","55577"
"03.01.2016 14:30 - 03.01.2016 14:45","50963","55094"
"03.01.2016 14:45 - 03.01.2016 15:00","50113","54577"
"03.01.2016 15:00 - 03.01.2016 15:15","50196","55256"
"03.01.2016 15:15 - 03.01.2016 15:30","49792","55244"
"03.01.2016 15:30 - 03.01.2016 15:45","50211","55456"
"03.01.2016 15:45 - 03.01.2016 16:00","50652","55497"
"03.01.2016 16:00 - 03.01.2016 16:15","50779","56002"
"03.01.2016 16:15 - 03.01.2016 16:30","51506","56674"
"03.01.2016 16:30 - 03.01.2016 16:45","52472","57812"
"03.01.2016 16:45 - 03.01.2016 17:00","53337","59216"
"03.01.2016 17:00 - 03.01.2016 17:15","54984","60407"
"03.01.2016 17:15 - 03.01.2016 17:30","56212","60815"
"03.01.2016 17:30 - 03.01.2016 17:45","57148","61691"
"03.01.2016 17:45 - 03.01.2016 18:00","57031","62182"
"03.01.2016 18:00 - 03.01.2016 18:15","57169","62861"
"03.01.2016 18:15 - 03.01.2016 18:30","57423","62645"
"03.01.2016 18:30 - 03.01.2016 18:45","57201","62386"
"03.01.2016 18:45 - 03.01.2016 19:00","56595","62241"
"03.01.2016 19:00 - 03.01.2016 19:15","57465","61695"
"03.01.2016 19:15 - 03.01.2016 19:30","56421","61145"
"03.01.2016 19:30 - 03.01.2016 19:45","56361","60533"
"03.01.2016 19:45 - 03.01.2016 20:00","55895","60113"
"03.01.2016 20:00 - 03.01.2016 20:15","55289","59982"
"03.01.2016 20:15 - 03.01.2016 20:30","54137","59052"
"03.01.2016 20:30 - 03.01.2016 20:45","53838","58102"
"03.01.2016 20:45 - 03.01.2016 21:00","53198","57063"
"03.01.2016 21:00 - 03.01.2016 21:15","52827","57451"
"03.01.2016 21:15 - 03.01.2016 21:30","52472","57171"
"03.01.2016 21:30 - 03.01.2016 21:45","52349","56703"
"03.01.2016 21:45 - 03.01.2016 22:00","52252","56813"
"03.01.2016 22:00 - 03.01.2016 22:15","53272","57993"
"03.01.2016 22:15 - 03.01.2016 22:30","53393","57157"
"03.01.2016 22:30 - 03.01.2016 22:45","52444","55998"
"03.01.2016 22:45 - 03.01.2016 23:00","51617","55203"
"03.01.2016 23:00 - 03.01.2016 23:15","50897","54421"
"03.01.2016 23:15 - 03.01.2016 23:30","50373","53722"
"03.01.2016 23:30 - 03.01.2016 23:45","49319","52865"
"03.01.2016 23:45 - 04.01.2016 00:00","48619","51703"
"04.01.2016 00:00 - 04.01.2016 00:15","46758","51900"
"04.01.2016 00:15 - 04.01.2016 00:30","46863","50816"
"04.01.2016 00:30 - 04.01.2016 00:45","46370","50232"
"04.01.2016 00:45 - 04.01.2016 01:00","45897","49624"
"04.01.2016 01:00 - 04.01.2016 01:15","45464","49297"
"04.01.2016 01:15 - 04.01.2016 01:30","45121","48982"
"04.01.2016 01:30 - 04.01.2016 01:45","44781","48611"
"04.01.2016 01:45 - 04.01.2016 02:00","44510","48147"
"04.01.2016 02:00 - 04.01.2016 02:15","44354","47994"
"04.01.2016 02:15 - 04.01.2016 02:30","44052","47643"
"04.01.2016 02:30 - 04.01.2016 02:45","43904","47524"
"04.01.2016 02:45 - 04.01.2016 03:00","43771","47564"
"04.01.2016 03:00 - 04.01.2016 03:15","43960","47552"
"04.01.2016 03:15 - 04.01.2016 03:30","43661","47622"
"04.01.2016 03:30 - 04.01.2016 03:45","43846","47597"
"04.01.2016 03:45 - 04.01.2016 04:00","43677","47784"
"04.01.2016 04:00 - 04.01.2016 04:15","43985","48301"
"04.01.2016 04:15 - 04.01.2016 04:30","44758","48735"
"04.01.2016 04:30 - 04.01.2016 04:45","44660","49067"
"04.01.2016 04:45 - 04.01.2016 05:00","45142","49571"
"04.01.2016 05:00 - 04.01.2016 05:15","46494","50770"
"04.01.2016 05:15 - 04.01.2016 05:30","46448","51287"
"04.01.2016 05:30 - 04.01.2016 05:45","47328","52584"
"04.01.2016 05:45 - 04.01.2016 06:00","48352","53684"
"04.01.2016 06:00 - 04.01.2016 06:15","50355","55388"
"04.01.2016 06:15 - 04.01.2016 06:30","51417","57755"
"04.01.2016 06:30 - 04.01.2016 06:45","52973","59454"
"04.01.2016 06:45 - 04.01.2016 07:00","54901","60627"
"04.01.2016 07:00 - 04.01.2016 07:15","56156","63154"
"04.01.2016 07:15 - 04.01.2016 07:30","57394","64862"
"04.01.2016 07:30 - 04.01.2016 07:45","59596","66508"
"04.01.2016 07:45 - 04.01.2016 08:00","60342","67746"
"04.01.2016 08:00 - 04.01.2016 08:15","61292","68711"
"04.01.2016 08:15 - 04.01.2016 08:30","61265","69607"
"04.01.2016 08:30 - 04.01.2016 08:45","61885","69931"
"04.01.2016 08:45 - 04.01.2016 09:00","62044","70430"
"04.01.2016 09:00 - 04.01.2016 09:15","62543","70823"
"04.01.2016 09:15 - 04.01.2016 09:30","62850","71297"
"04.01.2016 09:30 - 04.01.2016 09:45","63189","71684"
"04.01.2016 09:45 - 04.01.2016 10:00","63630","71889"
"04.01.2016 10:00 - 04.01.2016 10:15","63651","72327"
"04.01.2016 10:15 - 04.01.2016 10:30","64090","72666"
"04.01.2016 10:30 - 04.01.2016 10:45","64525","72829"
"04.01.2016 10:45 - 04.01.2016 11:00","64669","73280"
"04.01.2016 11:00 - 04.01.2016 11:15","65086","73424"
"04.01.2016 11:15 - 04.01.2016 11:30","65051","74345"
"04.01.2016 11:30 - 04.01.2016 11:45","65583","74687"
"04.01.2016 11:45 - 04.01.2016 12:00","65824","74763"
"04.01.2016 12:00 - 04.01.2016 12:15","65428","74652"
"04.01.2016 12:15 - 04.01.2016 12:30","65132","74537"
"04.01.2016 12:30 - 04.01.2016 12:45","65451","74313"
"04.01.2016 12:45 - 04.01.2016 13:00","65384","74224"
"04.01.2016 13:00 - 04.01.2016 13:15","65215","74063"
"04.01.2016 13:15 - 04.01.2016 13:30","65215","73773"
"04.01.2016 13:30 - 04.01.2016 13:45","65076","73259"
